Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
2.7745327102803734,245.98770671780946,211.65900476962207,109.33141408433643,184.62740234614677,178.92684481114276,184.7212527319049,175.1053753352074,176.18529213055342,"0.442, 0.292","0.425, 0.260","0.354, 0.267","0.395, 0.212","0.481, 0.551","0.426, 0.547","0.510, 0.725","0.412, 0.719","0.349, 0.186","0.371, 0.180","0.547, 0.869","0.410, 0.866","0.406, 0.211"
2.8475467289719623,248.82032808647236,206.06829671395917,107.16167456664688,186.1720443228672,178.41538652740184,185.5723016538087,175.01705287441143,176.2480511799547,"0.443, 0.289","0.420, 0.261","0.353, 0.268","0.395, 0.212","0.480, 0.551","0.425, 0.547","0.509, 0.725","0.412, 0.719","0.347, 0.182","0.373, 0.179","0.546, 0.869","0.410, 0.867","0.404, 0.210"
2.920560747663551,253.25244517203407,200.10874093814684,104.74538339647764,183.50611520708952,177.57775855040782,185.42874177376885,175.26373362996074,176.46575388921698,"0.447, 0.282","0.419, 0.259","0.352, 0.266","0.397, 0.202","0.480, 0.550","0.425, 0.547","0.509, 0.725","0.412, 0.720","0.344, 0.183","0.383, 0.171","0.546, 0.869","0.410, 0.868","0.406, 0.210"
2.99357476635514,257.08824573744437,202.7834045026484,104.1625989524488,225.2382791212374,177.62678360527366,186.3639412855427,175.64653309975725,176.32312121557894,"0.447, 0.283","0.414, 0.256","0.352, 0.274","0.383, 0.189","0.480, 0.550","0.425, 0.547","0.510, 0.725","0.412, 0.721","0.341, 0.193","0.367, 0.183","0.545, 0.868","0.410, 0.868","0.408, 0.210"
3.066588785046729,258.9751129305182,175.1266645514224,116.54979341810493,160.10899084781644,177.85514622831232,187.0621323598348,176.25688586444102,175.58341109626778,"0.450, 0.282","0.413, 0.257","0.352, 0.275","0.415, 0.203","0.483, 0.550","0.425, 0.547","0.511, 0.726","0.411, 0.722","0.321, 0.200","0.429, 0.169","0.543, 0.866","0.410, 0.869","0.408, 0.211"
3.1396028037383177,93.92921451842984,238.03189628496898,118.60848671462496,151.06042835713941,177.63845526494677,187.99933095967842,177.4061903771845,175.1431865628355,"0.458, 0.280","0.410, 0.260","0.349, 0.285","0.359, 0.232","0.488, 0.550","0.425, 0.548","0.515, 0.728","0.410, 0.722","0.305, 0.210","0.328, 0.183","0.542, 0.865","0.410, 0.869","0.413, 0.213"
3.212616822429906,82.35005874595898,65.98132906569197,120.59810652578462,103.67577847829548,176.7908477007178,188.43787959311368,180.43188500979457,174.7292391167079,"0.463, 0.281","0.411, 0.259","0.352, 0.308","0.358, 0.286","0.491, 0.550","0.426, 0.548","0.519, 0.728","0.410, 0.721","0.295, 0.249","0.314, 0.235","0.540, 0.864","0.410, 0.869","0.418, 0.214"
3.285630841121495,72.9885868234183,54.90689721731284,129.46361214866835,106.52352372469781,174.85128072991088,189.6261379255159,184.29629727378787,174.26633484554216,"0.471, 0.282","0.408, 0.259","0.360, 0.326","0.347, 0.309","0.494, 0.548","0.428, 0.547","0.526, 0.726","0.410, 0.719","0.286, 0.286","0.302, 0.278","0.539, 0.863","0.410, 0.869","0.425, 0.215"
3.358644859813084,62.64697688793253,36.8898359695479,147.48912927069705,119.12414473691432,171.20616011455468,190.03203142602354,188.479406177105,174.36617047914774,"0.485, 0.289","0.408, 0.259","0.384, 0.347","0.352, 0.346","0.496, 0.545","0.428, 0.543","0.532, 0.725","0.411, 0.713","0.298, 0.342","0.372, 0.384","0.539, 0.862","0.410, 0.869","0.429, 0.227"
3.431658878504673,54.73548748055204,29.24548981340014,205.5160331190051,145.81883844272275,169.11899821483004,191.06512086171293,189.7430286689904,174.85488738665993,"0.499, 0.293","0.406, 0.264","0.394, 0.367","0.359, 0.370","0.499, 0.542","0.430, 0.538","0.535, 0.725","0.412, 0.710","0.298, 0.384","0.368, 0.424","0.538, 0.862","0.410, 0.869","0.433, 0.230"
